"Mã khách hàng","Tên khách hàng","Ngày xuất hóa đơn","Ngày chốt chỉ số","Ngày thanh toán","Kỳ","Doanh thu","Số tiền sau thuế","Sản lượng","Sản lượng phản kháng","Đính kèm","Địa chỉ","Địa chỉ: Địa chỉ KCN"
"KCNTTI-003","CÔNG TY CỔ PHẦN CÔNG NGHỆ QUỐC TẾ DOVEY","31/07/2025","31/07/2025","01/08/2025","2","367.451 ₫","396.847 ₫","0","926","1","KCNTTI","KCN Thuận Thành I, xã Trạm Lộ, tỉnh Bắc Ninh"
"KCN03-009","CÔNG TY CỔ PHẦN DỊCH VỤ GIAO HÀNG NHANH","25/07/2025","20/07/2025","04/08/2025","2","19.529.580 ₫","21.091.946 ₫","5.570","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCNTH-002","CÔNG TY TNHH VẢI TÚI KHÍ ASAHI KASEI VIỆT NAM","20/07/2025","20/07/2025","25/07/2025","2","272.564.118 ₫","272.564.118 ₫","123.066","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTTI-002","CÔNG TY CỔ PHẦN THIẾT KẾ VÀ XÂY DỰNG GIZA VIỆT NAM","20/07/2025","20/07/2025","24/07/2025","2","71.742.263 ₫","77.481.644 ₫","32.756","0","1","KCNTTI","KCN Thuận Thành I, xã Trạm Lộ, tỉnh Bắc Ninh"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","20/07/2025","20/07/2025","26/07/2025","2","3.930.555 ₫","3.930.555 ₫","0","19.262","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-004","CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHIỆP MINH QUANG IDS","20/07/2025","20/07/2025","25/07/2025","2","80.709.084 ₫","87.165.811 ₫","35.772","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-001","CÔNG TY CỔ PHẦN CƠ KHÍ VNC","20/07/2025","20/07/2025","23/07/2025","2","102.898.230 ₫","111.130.088 ₫","53.160","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","20/07/2025","20/07/2025","26/07/2025","2","221.133.142 ₫","221.133.142 ₫","100.576","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-003","CÔNG TY TNHH ĐIỆN KHÍ JILI VIỆT NAM","20/07/2025","20/07/2025","24/07/2025","2","132.553.615 ₫","143.157.904 ₫","58.840","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCN03-003A","CÔNG TY TNHH XÂY DỰNG VÀ THƯƠNG MẠI AN TÂM","15/07/2025","10/07/2025","22/07/2025","1","18.643.755 ₫","20.135.255 ₫","6.852","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCNTH-008"," CÔNG TY TNHH HUM&C VINA","15/07/2025","15/07/2025","21/07/2025","1","111.505.799 ₫","111.505.799 ₫","50.441","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-011","CÔNG TY TNHH XULI CARGO CONTROL (VIET NAM)","15/07/2025","15/07/2025","18/07/2025","1","92.415.380 ₫","92.415.380 ₫","39.833","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNYM-003","CÔNG TY TNHH ĐIỆN KHÍ JILI VIỆT NAM","10/07/2025","10/07/2025","14/07/2025","1","146.430.038 ₫","158.144.441 ₫","64.205","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-001","CÔNG TY CỔ PHẦN CƠ KHÍ VNC","10/07/2025","10/07/2025","12/07/2025","1","46.305.870 ₫","50.010.340 ₫","23.580","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-004","CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHIỆP MINH QUANG IDS","10/07/2025","10/07/2025","11/07/2025","1","95.827.428 ₫","103.493.622 ₫","41.652","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","10/07/2025","10/07/2025","17/07/2025","1","219.706.083 ₫","219.706.083 ₫","99.357","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","10/07/2025","10/07/2025","17/07/2025","1","3.256.986 ₫","3.256.986 ₫","0","19.400","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNTTI-003","CÔNG TY CỔ PHẦN CÔNG NGHỆ QUỐC TẾ DOVEY","10/07/2025","10/07/2025","15/07/2025","1","7.187.178 ₫","7.762.152 ₫","2.928","0","1","KCNTTI","KCN Thuận Thành I, xã Trạm Lộ, tỉnh Bắc Ninh"
"KCNTH-002","CÔNG TY TNHH VẢI TÚI KHÍ ASAHI KASEI VIỆT NAM","10/07/2025","10/07/2025","15/07/2025","1","260.912.568 ₫","260.912.568 ₫","117.840","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTTI-002","CÔNG TY CỔ PHẦN THIẾT KẾ VÀ XÂY DỰNG GIZA VIỆT NAM","10/07/2025","10/07/2025","14/07/2025","1","69.297.744 ₫","74.841.564 ₫","31.353","0","1","KCNTTI","KCN Thuận Thành I, xã Trạm Lộ, tỉnh Bắc Ninh"
"KCNTTI-003","CÔNG TY CỔ PHẦN CÔNG NGHỆ QUỐC TẾ DOVEY","10/07/2025","10/07/2025","15/07/2025","1","898.397 ₫","970.269 ₫","0","2.158","1","KCNTTI","KCN Thuận Thành I, xã Trạm Lộ, tỉnh Bắc Ninh"
"KCNYM-005","CÔNG TY TNHH CÔNG NGHIỆP TITAN (HƯNG YÊN)","04/07/2025","30/06/2025","09/07/2025","1","24.832.530 ₫","26.819.132 ₫","7.208","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCN03-007","CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN CÔNG NGHIỆP IP","01/07/2025","30/06/2025","07/07/2025","1","13.698.508 ₫","14.794.389 ₫","6.142","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCNYM-013","CÔNG TY TNHH WGM","30/06/2025","30/06/2025","07/07/2025","1","7.939.909 ₫","8.575.102 ₫","3.310","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-012","CÔNG TY TNHH ESSENCE HOME","30/06/2025","30/06/2025","09/07/2025","1","9.676.521 ₫","10.450.643 ₫","4.074","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-011","CÔNG TY TNHH KYUNG BO POLYMER VINA","30/06/2025","30/06/2025","03/07/2025","1","4.779.366 ₫","5.161.715 ₫","2.055","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-009","CÔNG TY TNHH DAECHANG VIỆT NAM","30/06/2025","30/06/2025","04/07/2025","1","16.947.900 ₫","18.303.732 ₫","7.101","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-010"," CÔNG TY TNHH ĐIỆN TỬ Ô TÔ SAMMOON VIỆT NAM","30/06/2025","30/06/2025","05/07/2025","1","4.784.122 ₫","4.784.122 ₫","2.029","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-008","CÔNG TY TNHH NHỰA VINSON","30/06/2025","30/06/2025","02/07/2025","1","129.338.699 ₫","139.685.795 ₫","61.142","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-007","CÔNG TY TNHH SML TRIMS & PACKAGING VIỆT NAM","30/06/2025","30/06/2025","02/07/2025","1","95.014.117 ₫","102.615.246 ₫","40.366","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-006","CÔNG TY TNHH BEST PACIFIC VIỆT NAM – CHI NHÁNH HƯNG YÊN","30/06/2025","30/06/2025","02/07/2025","1","489.779.146 ₫","489.779.146 ₫","237.331","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-003","CÔNG TY TNHH ĐIỆN KHÍ JILI VIỆT NAM","30/06/2025","30/06/2025","04/07/2025","3","165.074.335 ₫","178.280.282 ₫","74.227","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","30/06/2025","30/06/2025","07/07/2025","3","209.611.701 ₫","209.611.701 ₫","96.783","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-001","CÔNG TY CỔ PHẦN CƠ KHÍ VNC","30/06/2025","30/06/2025","30/06/2025","3","95.825.850 ₫","103.491.918 ₫","49.860","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-004","CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHIỆP MINH QUANG IDS","30/06/2025","30/06/2025","01/07/2025","3","97.075.896 ₫","104.841.968 ₫","42.648","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNTH-014","CÔNG TY TNHH ACCELOTECH VINA VIỆT NAM","30/06/2025","30/06/2025","04/07/2025","1","3.933.586 ₫","3.933.586 ₫","1.765","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-013","CÔNG TY TNHH FANTASY TECH","30/06/2025","30/06/2025","14/07/2025","1","200.723.292 ₫","200.723.292 ₫","82.929","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-009A","CHI NHÁNH CÔNG TY TNHH XÂY DỰNG VÀ ĐẦU TƯ THƯƠNG MẠI HỢP NHẤT VIỆT NAM","30/06/2025","30/06/2025","11/07/2025","1","7.459.585 ₫","8.056.352 ₫","3.238","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-007","CÔNG TY TNHH SINHER TECHNOLOGY VIỆT NAM","30/06/2025","30/06/2025","04/07/2025","1","43.992.708 ₫","43.992.708 ₫","19.584","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-005"," CÔNG TY CỔ PHẦN FTA E&C VIỆT NAM","30/06/2025","30/06/2025","07/07/2025","1","6.090.409 ₫","6.577.642 ₫","2.944","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-001","CÔNG TY ĐẦU TƯ HẠ TẦNG VÀ ĐÔ THỊ VIGLACERA - CHI NHÁNH TỔNG CÔNG TY VIGLACERA - CTCP","30/06/2025","30/06/2025","03/07/2025","1","35.491.029 ₫","38.330.311 ₫","16.731","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCN03-005","CÔNG TY CỔ PHẦN LOGOS VIỆT NAM HY 1","30/06/2025","30/06/2025","10/07/2025","1","99.349.584 ₫","107.297.551 ₫","28.027","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-006","CÔNG TY CỔ PHẦN CÔNG NGHỆ THÔNG MINH JP VIỆT NHẬT","30/06/2025","30/06/2025","30/06/2025","1","10.215.993 ₫","11.033.272 ₫","4.467","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-004","CÔNG TY CỔ PHẦN NHỰA SENDAI VIỆT NAM","30/06/2025","30/06/2025","04/07/2025","1","205.798.344 ₫","222.262.212 ₫","95.118","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-003A","CÔNG TY TNHH XÂY DỰNG VÀ THƯƠNG MẠI AN TÂM","30/06/2025","30/06/2025","02/07/2025","1","25.435.532 ₫","27.470.375 ₫","11.288","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-001","CÔNG TY CỔ PHẦN QUẢN LÝ KHU CÔNG NGHIỆP ECOLAND","30/06/2025","30/06/2025","04/07/2025","1","33.317.597 ₫","35.983.005 ₫","15.293","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCNTTI-003","CÔNG TY CỔ PHẦN CÔNG NGHỆ QUỐC TẾ DOVEY","30/06/2025","30/06/2025","04/07/2025","2","3.892.212 ₫","4.203.589 ₫","1.506","0","1","KCNTTI","KCN Thuận Thành I, xã Trạm Lộ, tỉnh Bắc Ninh"
"KCNTH-011","CÔNG TY TNHH XULI CARGO CONTROL (VIET NAM)","30/06/2025","30/06/2025","02/07/2025","2","102.112.028 ₫","102.112.028 ₫","41.078","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-008"," CÔNG TY TNHH HUM&C VINA","30/06/2025","30/06/2025","10/07/2025","2","109.961.029 ₫","109.961.029 ₫","49.891","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTTI-002","CÔNG TY CỔ PHẦN THIẾT KẾ VÀ XÂY DỰNG GIZA VIỆT NAM","30/06/2025","30/06/2025","04/07/2025","3","64.010.533 ₫","69.131.376 ₫","29.059","0","1","KCNTTI","KCN Thuận Thành I, xã Trạm Lộ, tỉnh Bắc Ninh"
"KCNTH-002","CÔNG TY TNHH VẢI TÚI KHÍ ASAHI KASEI VIỆT NAM","30/06/2025","30/06/2025","04/07/2025","3","225.156.066 ₫","225.156.066 ₫","99.960","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","30/06/2025","30/06/2025","07/07/2025","3","610.239 ₫","610.239 ₫","0","12.906","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNTH-003A","CÔNG TY TNHH CÔNG NGHIỆP BE BRIGHT","30/06/2025","30/06/2025","03/07/2025","1","31.278.420 ₫","33.780.694 ₫","13.644","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNPĐ-001","CÔNG TY ĐẦU TƯ PHÁT TRIỂN HẠ TẦNG VIGLACERA - CHI NHÁNH TỔNG CÔNG TY VIGLACERA","30/06/2025","30/06/2025","03/07/2025","1","5.562.420 ₫","6.007.414 ₫","2.802","0","1","KCNPĐ","KCN Phong Điền, xã Phong Điền, Thành phố Huế"
"KCNPĐ-002","CÔNG TY TNHH MAY MẶC AMP VIỆT NAM - PHONG ĐIỀN","30/06/2025","30/06/2025","07/07/2025","1","116.404.350 ₫","125.716.698 ₫","49.320","0","1","KCNPĐ","KCN Phong Điền, xã Phong Điền, Thành phố Huế"
"KCNTTI-003","CÔNG TY CỔ PHẦN CÔNG NGHỆ QUỐC TẾ DOVEY","30/06/2025","30/06/2025","04/07/2025","2","486.527 ₫","525.449 ₫","0","1.111","1","KCNTTI","KCN Thuận Thành I, xã Trạm Lộ, tỉnh Bắc Ninh"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","20/06/2025","20/06/2025","24/06/2025","2","224.399.387 ₫","224.399.387 ₫","102.629","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-003","CÔNG TY TNHH ĐIỆN KHÍ JILI VIỆT NAM","20/06/2025","20/06/2025","25/06/2025","2","173.462.716 ₫","187.339.733 ₫","77.845","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-001","CÔNG TY CỔ PHẦN CƠ KHÍ VNC","20/06/2025","20/06/2025","26/06/2025","2","99.337.500 ₫","107.284.500 ₫","51.720","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-004","CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHIỆP MINH QUANG IDS","20/06/2025","20/06/2025","20/06/2025","2","98.492.272 ₫","106.371.654 ₫","42.976","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNTH-002","CÔNG TY TNHH VẢI TÚI KHÍ ASAHI KASEI VIỆT NAM","20/06/2025","20/06/2025","25/06/2025","2","208.145.760 ₫","208.145.760 ₫","93.966","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTTI-002","CÔNG TY CỔ PHẦN THIẾT KẾ VÀ XÂY DỰNG GIZA VIỆT NAM","20/06/2025","20/06/2025","24/06/2025","2","68.504.553 ₫","73.984.917 ₫","30.021","0","1","KCNTTI","KCN Thuận Thành I, xã Trạm Lộ, tỉnh Bắc Ninh"
"KCN03-002A","CÔNG TY CỔ PHẦN XÂY DỰNG SỐ 1","20/06/2025","20/06/2025","10/07/2025","1","2.737.729 ₫","2.956.747 ₫","1.279","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCNTH-011","CÔNG TY TNHH XULI CARGO CONTROL (VIET NAM)","16/06/2025","15/06/2025","20/06/2025","1","187.044.295 ₫","187.044.295 ₫","74.839","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-008"," CÔNG TY TNHH HUM&C VINA","16/06/2025","15/06/2025","20/06/2025","1","103.349.757 ₫","103.349.757 ₫","46.590","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNYM-003","CÔNG TY TNHH ĐIỆN KHÍ JILI VIỆT NAM","10/06/2025","10/06/2025","14/06/2025","1","136.441.486 ₫","147.356.805 ₫","61.702","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-004","CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHIỆP MINH QUANG IDS","10/06/2025","10/06/2025","10/06/2025","1","92.187.976 ₫","99.563.014 ₫","40.252","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","10/06/2025","10/06/2025","16/06/2025","1","174.947.791 ₫","174.947.791 ₫","79.564","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-001","CÔNG TY CỔ PHẦN CƠ KHÍ VNC","10/06/2025","10/06/2025","14/06/2025","1","85.587.630 ₫","92.434.640 ₫","45.720","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNTTI-002","CÔNG TY CỔ PHẦN THIẾT KẾ VÀ XÂY DỰNG GIZA VIỆT NAM","10/06/2025","10/06/2025","16/06/2025","1","20.095.547 ₫","21.703.191 ₫","9.395","0","1","KCNTTI","KCN Thuận Thành I, xã Trạm Lộ, tỉnh Bắc Ninh"
"KCNTH-002","CÔNG TY TNHH VẢI TÚI KHÍ ASAHI KASEI VIỆT NAM","10/06/2025","10/06/2025","16/06/2025","1","230.829.012 ₫","230.829.012 ₫","105.300","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-011","CÔNG TY TNHH XULI CARGO CONTROL (VIET NAM)","31/05/2025","31/05/2025","06/06/2025","2","238.845.546 ₫","238.845.546 ₫","93.651","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-008"," CÔNG TY TNHH HUM&C VINA","31/05/2025","31/05/2025","05/06/2025","2","117.695.810 ₫","117.695.810 ₫","53.747","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCN03-005","CÔNG TY CỔ PHẦN LOGOS VIỆT NAM HY 1","31/05/2025","31/05/2025","13/06/2025","1","44.507.837 ₫","48.068.464 ₫","12.805","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-006","CÔNG TY CỔ PHẦN CÔNG NGHỆ THÔNG MINH JP VIỆT NHẬT","31/05/2025","31/05/2025","09/06/2025","1","12.447.562 ₫","13.443.367 ₫","5.530","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-004","CÔNG TY CỔ PHẦN NHỰA SENDAI VIỆT NAM","31/05/2025","31/05/2025","03/06/2025","1","189.768.436 ₫","204.949.911 ₫","88.042","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-001","CÔNG TY CỔ PHẦN QUẢN LÝ KHU CÔNG NGHIỆP ECOLAND","31/05/2025","31/05/2025","05/06/2025","1","41.709.423 ₫","45.046.177 ₫","19.052","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-003A","CÔNG TY TNHH XÂY DỰNG VÀ THƯƠNG MẠI AN TÂM","31/05/2025","31/05/2025","06/06/2025","1","20.023.639 ₫","21.625.530 ₫","8.784","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-002A","CÔNG TY CỔ PHẦN XÂY DỰNG SỐ 1","31/05/2025","31/05/2025","06/06/2025","1","47.139.833 ₫","50.911.020 ₫","20.768","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCNTH-013","CÔNG TY TNHH FANTASY TECH","31/05/2025","31/05/2025","03/06/2025","1","89.705.686 ₫","89.705.686 ₫","37.891","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-003A","CÔNG TY TNHH CÔNG NGHIỆP BE BRIGHT","31/05/2025","31/05/2025","12/06/2025","1","36.265.885 ₫","39.167.156 ₫","16.352","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-009A","CHI NHÁNH CÔNG TY TNHH XÂY DỰNG VÀ ĐẦU TƯ THƯƠNG MẠI HỢP NHẤT VIỆT NAM","31/05/2025","31/05/2025","09/06/2025","1","6.275.907 ₫","6.777.980 ₫","2.789","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-005"," CÔNG TY CỔ PHẦN FTA E&C VIỆT NAM","31/05/2025","31/05/2025","04/06/2025","1","6.828.280 ₫","7.374.542 ₫","3.274","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-007","CÔNG TY TNHH SINHER TECHNOLOGY VIỆT NAM","31/05/2025","31/05/2025","05/06/2025","1","35.515.684 ₫","35.515.684 ₫","16.048","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-001","CÔNG TY ĐẦU TƯ HẠ TẦNG VÀ ĐÔ THỊ VIGLACERA - CHI NHÁNH TỔNG CÔNG TY VIGLACERA - CTCP","31/05/2025","31/05/2025","04/06/2025","1","33.592.556 ₫","36.279.960 ₫","16.024","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-002","CÔNG TY TNHH VẢI TÚI KHÍ ASAHI KASEI VIỆT NAM","31/05/2025","31/05/2025","05/06/2025","3","262.953.516 ₫","262.953.516 ₫","116.148","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNPĐ-002","CÔNG TY TNHH MAY MẶC AMP VIỆT NAM - PHONG ĐIỀN","31/05/2025","31/05/2025","04/06/2025","1","103.519.366 ₫","111.800.915 ₫","44.201","0","1","KCNPĐ","KCN Phong Điền, xã Phong Điền, Thành phố Huế"
"KCNPĐ-001","CÔNG TY ĐẦU TƯ PHÁT TRIỂN HẠ TẦNG VIGLACERA - CHI NHÁNH TỔNG CÔNG TY VIGLACERA","31/05/2025","31/05/2025","03/06/2025","1","6.367.420 ₫","6.876.814 ₫","3.199","0","1","KCNPĐ","KCN Phong Điền, xã Phong Điền, Thành phố Huế"
"KCNYM-009","CÔNG TY TNHH DAECHANG VIỆT NAM","31/05/2025","31/05/2025","09/06/2025","1","14.335.694 ₫","15.482.550 ₫","6.054","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-010"," CÔNG TY TNHH ĐIỆN TỬ Ô TÔ SAMMOON VIỆT NAM","31/05/2025","31/05/2025","09/06/2025","1","4.286.916 ₫","4.286.916 ₫","1.785","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-012","CÔNG TY TNHH ESSENCE HOME","31/05/2025","31/05/2025","10/06/2025","1","3.714.973 ₫","4.012.171 ₫","1.540","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-003","CÔNG TY TNHH ĐIỆN KHÍ JILI VIỆT NAM","31/05/2025","31/05/2025","03/06/2025","3","163.452.025 ₫","176.528.187 ₫","72.628","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","31/05/2025","31/05/2025","05/06/2025","3","211.250.948 ₫","211.250.948 ₫","94.439","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-001","CÔNG TY CỔ PHẦN CƠ KHÍ VNC","31/05/2025","31/05/2025","04/06/2025","3","146.383.410 ₫","158.094.083 ₫","82.530","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-004","CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHIỆP MINH QUANG IDS","31/05/2025","31/05/2025","06/06/2025","3","108.924.368 ₫","117.638.317 ₫","46.892","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-011","CÔNG TY TNHH KYUNG BO POLYMER VINA","31/05/2025","31/05/2025","02/06/2025","1","2.529.573 ₫","2.731.939 ₫","1.137","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-007","CÔNG TY TNHH SML TRIMS & PACKAGING VIỆT NAM","31/05/2025","31/05/2025","04/06/2025","1","69.831.461 ₫","75.417.978 ₫","30.097","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
